Sun Jun 27 21:50:15 2021    cprofile.prof

         15545163 function calls (14716914 primitive calls) in 21.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 hmac.py:1(<module>)
       48    0.000    0.000    0.001    0.000 _methods.py:124(_clip)
      620    0.001    0.000    0.001    0.000 _inspect.py:65(getargs)
        8    0.000    0.000    0.001    0.000 _base.py:350(_makeline)
       62    0.000    0.000    0.001    0.000 parser.py:94(check_event)
     1988    0.001    0.000    0.001    0.000 function_base.py:244(iterable)
       59    0.000    0.000    0.001    0.000 patches.py:359(set_facecolor)
       23    0.000    0.000    0.001    0.000 overrides.py:227(decorator)
       30    0.000    0.000    0.001    0.000 __init__.py:569(__init__)
      357    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1010(path_stats)
        1    0.000    0.000    0.001    0.001 subprocess.py:1550(_execute_child)
       10    0.000    0.000    0.001    0.000 _base.py:3446(set_xlim)
      416    0.001    0.000    0.001    0.000 lines.py:1358(set_dash_capstyle)
      600    0.001    0.000    0.001    0.000 text.py:1187(set_verticalalignment)
      424    0.001    0.000    0.001    0.000 font_manager.py:951(_json_decode)
      816    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
      452    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      708    0.001    0.000    0.001    0.000 markers.py:254(__bool__)
    37/32    0.000    0.000    0.001    0.000 transforms.py:1758(__eq__)
        1    0.000    0.000    0.001    0.001 linecache.py:1(<module>)
       67    0.001    0.000    0.001    0.000 cycler.py:349(by_key)
       30    0.000    0.000    0.001    0.000 _collections_abc.py:824(update)
       27    0.001    0.000    0.001    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.001    0.001 _text_layout.py:1(<module>)
     1227    0.001    0.000    0.001    0.000 text.py:1152(set_y)
        1    0.000    0.000    0.001    0.001 fontconfig_pattern.py:62(__init__)
       63    0.000    0.000    0.001    0.000 colors.py:987(<dictcomp>)
     35/1    0.000    0.000    0.001    0.001 serializer.py:78(serialize_node)
      792    0.001    0.000    0.001    0.000 backend_bases.py:973(set_joinstyle)
       26    0.000    0.000    0.001    0.000 _backend_tk.py:552(set_message)
     9998    0.001    0.000    0.001    0.000 index_tricks.py:655(__iter__)
     9678    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
      412    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:629(spec_from_file_location)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
       75    0.000    0.000    0.001    0.000 transforms.py:1850(inverted)
     1002    0.001    0.000    0.001    0.000 shape_base.py:608(_column_stack_dispatcher)
       28    0.000    0.000    0.001    0.000 _base.py:2307(_process_unit_info)
     9998    0.001    0.000    0.001    0.000 multiarray.py:75(empty_like)
       88    0.001    0.000    0.001    0.000 transforms.py:2799(nonsingular)
      214    0.000    0.000    0.001    0.000 sre_parse.py:96(closegroup)
      238    0.000    0.000    0.001    0.000 std.py:289(format_interval)
       12    0.001    0.000    0.001    0.000 artist.py:1339(<listcomp>)
      136    0.000    0.000    0.001    0.000 axis.py:212(apply_tickdir)
      188    0.001    0.000    0.001    0.000 colors.py:989(<listcomp>)
     4994    0.001    0.000    0.001    0.000 linalg.py:472(_unary_dispatcher)
       13    0.000    0.000    0.001    0.000 enum.py:462(<listcomp>)
       35    0.000    0.000    0.001    0.000 __init__.py:363(set)
      774    0.001    0.000    0.001    0.000 ticker.py:292(fix_minus)
      352    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:493(_classify_pyc)
      160    0.000    0.000    0.001    0.000 axis.py:1593(_set_formatter)
      302    0.000    0.000    0.001    0.000 artist.py:1094(set_zorder)
        1    0.000    0.000    0.001    0.001 type_check.py:1(<module>)
       14    0.000    0.000    0.001    0.000 core.py:116(doc_note)
  458/323    0.000    0.000    0.001    0.000 transforms.py:2340(_invalidate_internal)
      132    0.000    0.000    0.001    0.000 text.py:1130(set_position)
        1    0.000    0.000    0.001    0.001 bz2.py:1(<module>)
     5613    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
      264    0.001    0.000    0.001    0.000 {method 'round' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 decoder.py:1(<module>)
       12    0.000    0.000    0.001    0.000 __init__.py:1901(_define_aliases)
      120    0.001    0.000    0.001    0.000 _methods.py:273(_ptp)
        1    0.000    0.000    0.001    0.001 figureoptions.py:6(<module>)
       35    0.001    0.000    0.001    0.000 {method 'globalsetvar' of '_tkinter.tkapp' objects}
        1    0.000    0.000    0.001    0.001 offsetbox.py:1(<module>)
      215    0.000    0.000    0.001    0.000 enum.py:858(__and__)
      118    0.000    0.000    0.001    0.000 inspect.py:2853(replace)
        1    0.000    0.000    0.001    0.001 context.py:70(RLock)
      874    0.001    0.000    0.001    0.000 font_manager.py:777(set_family)
      828    0.001    0.000    0.001    0.000 stride_tricks.py:536(<listcomp>)
        1    0.000    0.000    0.001    0.001 tokenize.py:1(<module>)
       40    0.000    0.000    0.001    0.000 emitter.py:111(emit)
        1    0.000    0.000    0.001    0.001 _pocketfft.py:1(<module>)
     1253    0.001    0.000    0.001    0.000 __init__.py:858(clean)
       30    0.000    0.000    0.001    0.000 path.py:599(get_extents)
      168    0.000    0.000    0.001    0.000 scanner.py:113(check_token)
      600    0.001    0.000    0.001    0.000 text.py:949(set_horizontalalignment)
      417    0.001    0.000    0.001    0.000 copy.py:258(_reconstruct)
        1    0.000    0.000    0.001    0.001 cycler.py:1(<module>)
       71    0.000    0.000    0.001    0.000 markers.py:703(_set_tickdown)
        2    0.000    0.000    0.001    0.001 std.py:842(__init__)
        1    0.000    0.000    0.001    0.001 extras.py:1(<module>)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4686(parseImpl)
      416    0.001    0.000    0.001    0.000 lines.py:1093(set_linewidth)
     5324    0.001    0.000    0.001    0.000 {method 'values' of 'mappingproxy' objects}
        3    0.000    0.000    0.001    0.000 figure.py:2552(set_size_inches)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5843(makeHTMLTags)
        1    0.000    0.000    0.001    0.001 pyparsing.py:5806(_makeTags)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
      638    0.001    0.000    0.001    0.000 font_manager.py:1126(score_family)
       42    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1479(_fill_cache)
  599/468    0.000    0.000    0.001    0.000 abc.py:100(__subclasscheck__)
     7743    0.001    0.000    0.001    0.000 {method 'lower' of 'str' objects}
       96    0.000    0.000    0.001    0.000 traceback.py:285(line)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1252(_path_hooks)
     3327    0.001    0.000    0.001    0.000 sre_parse.py:249(match)
       65    0.000    0.000    0.001    0.000 axis.py:521(apply_tickdir)
       46    0.000    0.000    0.001    0.000 pathlib.py:1038(__new__)
        1    0.000    0.000    0.001    0.001 backend_tools.py:1(<module>)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
     72/4    0.000    0.000    0.001    0.000 pyparsing.py:1835(_parseCache)
       56    0.000    0.000    0.001    0.000 __init__.py:687(_open_file_or_url)
      429    0.000    0.000    0.001    0.000 artist.py:1429(aliased_name)
       71    0.000    0.000    0.001    0.000 axis.py:454(apply_tickdir)
     5105    0.001    0.000    0.001    0.000 inspect.py:2619(__init__)
      913    0.001    0.000    0.001    0.000 lines.py:66(_scale_dashes)
     4999    0.001    0.000    0.001    0.000 RBF.py:66(get_h)
       89    0.000    0.000    0.001    0.000 patches.py:124(_process_radius)
        8    0.000    0.000    0.001    0.000 patches.py:733(__init__)
        7    0.000    0.000    0.001    0.000 gridspec.py:145(get_grid_positions)
       30    0.000    0.000    0.001    0.000 transforms.py:1568(transform_path)
     3580    0.001    0.000    0.001    0.000 transforms.py:1019(get_points)
      931    0.001    0.000    0.001    0.000 {method 'set_size' of 'matplotlib.ft2font.FT2Font' objects}
       72    0.000    0.000    0.001    0.000 linecache.py:15(getline)
    10000    0.001    0.000    0.001    0.000 {method 'random' of '_random.Random' objects}
        1    0.000    0.000    0.001    0.001 numerictypes.py:1(<module>)
       10    0.000    0.000    0.001    0.000 _base.py:3773(set_ylim)
        1    0.000    0.000    0.001    0.001 qt_compat.py:1(<module>)
     2851    0.001    0.000    0.001    0.000 inspect.py:2809(<genexpr>)
       26    0.000    0.000    0.001    0.000 __init__.py:528(_get_data_path)
       65    0.000    0.000    0.001    0.000 markers.py:683(_set_tickleft)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
       83    0.000    0.000    0.001    0.000 transforms.py:810(unit)
        1    0.001    0.001    0.001    0.001 __init__.py:833(<dictcomp>)
        1    0.000    0.000    0.001    0.001 random.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dviread.py:1(<module>)
      792    0.001    0.000    0.001    0.000 backend_bases.py:907(set_capstyle)
        1    0.000    0.000    0.001    0.001 patches.py:1954(BoxStyle)
       80    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(diff)
        1    0.000    0.000    0.001    0.001 dumper.py:2(<module>)
        2    0.000    0.000    0.001    0.000 pyparsing.py:5679(srange)
       66    0.000    0.000    0.001    0.000 pyparsing.py:2138(__add__)
       72    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 message.py:5(<module>)
        3    0.000    0.000    0.001    0.000 utils.py:1(<module>)
      416    0.000    0.000    0.001    0.000 lines.py:1058(set_drawstyle)
       87    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedRandom' objects}
     3919    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
    11343    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
        1    0.000    0.000    0.001    0.001 signal.py:1(<module>)
  599/468    0.001    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       86    0.000    0.000    0.001    0.000 axis.py:1619(set_major_locator)
        1    0.000    0.000    0.001    0.001 widgets.py:1(<module>)
       46    0.000    0.000    0.001    0.000 pathlib.py:677(_from_parts)
     6279    0.001    0.000    0.001    0.000 fromnumeric.py:2612(_amax_dispatcher)
       28    0.000    0.000    0.001    0.000 patches.py:453(set_fill)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
       99    0.000    0.000    0.001    0.000 __init__.py:1344(bind)
      692    0.001    0.000    0.001    0.000 deprecation.py:476(deprecate_method_override)
        3    0.000    0.000    0.001    0.000 transforms.py:963(p1)
      240    0.001    0.000    0.001    0.000 utils.py:213(_is_ascii)
       71    0.000    0.000    0.001    0.000 markers.py:697(_set_tickup)
      931    0.001    0.000    0.001    0.000 {method 'clear' of 'matplotlib.ft2font.FT2Font' objects}
       82    0.000    0.000    0.001    0.000 __init__.py:1922(make_alias)
       42    0.001    0.000    0.001    0.000 {built-in method posix.listdir}
        1    0.000    0.000    0.001    0.001 datetime.py:1(<module>)
     6025    0.001    0.000    0.001    0.000 inspect.py:2845(parameters)
        1    0.000    0.000    0.001    0.001 twodim_base.py:1(<module>)
      717    0.001    0.000    0.001    0.000 __init__.py:1890(_str_lower_equal)
       96    0.000    0.000    0.001    0.000 _methods.py:90(_clip_dep_is_scalar_nan)
       18    0.000    0.000    0.001    0.000 argparse.py:1337(add_argument)
        5    0.000    0.000    0.001    0.000 _base.py:3374(set_xbound)
     1223    0.001    0.000    0.001    0.000 transforms.py:1754(__array__)
     1056    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
       99    0.000    0.000    0.001    0.000 __init__.py:1326(_bind)
     2675    0.001    0.000    0.001    0.000 sre_parse.py:160(__len__)
      560    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
       65    0.000    0.000    0.001    0.000 markers.py:689(_set_tickright)
       54    0.000    0.000    0.001    0.000 pathlib.py:657(_parse_args)
      580    0.000    0.000    0.001    0.000 <string>:1(__new__)
      424    0.000    0.000    0.001    0.000 lines.py:632(axes)
     2712    0.001    0.000    0.001    0.000 __init__.py:153(<genexpr>)
       15    0.000    0.000    0.001    0.000 deprecation.py:436(make_keyword_only)
      698    0.001    0.000    0.001    0.000 std.py:234(__call__)
        1    0.000    0.000    0.001    0.001 parse.py:1(<module>)
       67    0.000    0.000    0.001    0.000 pyparsing.py:4011(__init__)
      724    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
       40    0.000    0.000    0.001    0.000 _base.py:4324(get_children)
     2423    0.001    0.000    0.001    0.000 sre_parse.py:172(append)
      454    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:176(cb)
      101    0.000    0.000    0.001    0.000 inspect.py:544(_finddoc)
        1    0.000    0.000    0.001    0.001 getlimits.py:94(_register_known_types)
      416    0.000    0.000    0.001    0.000 lines.py:1314(set_dash_joinstyle)
        1    0.000    0.000    0.001    0.001 backend_agg.py:1(<module>)
       80    0.001    0.000    0.001    0.000 function_base.py:1153(diff)
       42    0.001    0.000    0.001    0.000 __init__.py:1485(nametowidget)
      352    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:526(_validate_timestamp_pyc)
       56    0.000    0.000    0.001    0.000 PngImagePlugin.py:137(_crc32)
        1    0.000    0.000    0.001    0.001 argparse.py:1638(__init__)
     4711    0.001    0.000    0.001    0.000 path.py:199(vertices)
        1    0.000    0.000    0.001    0.001 afm.py:1(<module>)
        1    0.000    0.000    0.001    0.001 dis.py:1(<module>)
        1    0.000    0.000    0.001    0.001 art3d.py:5(<module>)
       34    0.000    0.000    0.001    0.000 scanner.py:156(fetch_more_tokens)
        1    0.000    0.000    0.001    0.001 decimal.py:2(<module>)
        6    0.000    0.000    0.001    0.000 __init__.py:2983(__init__)
       20    0.000    0.000    0.001    0.000 pyparsing.py:4847(parseImpl)
       80    0.000    0.000    0.001    0.000 ticker.py:2151(_staircase)
    24/12    0.000    0.000    0.001    0.000 pyparsing.py:4249(parseImpl)
        1    0.000    0.000    0.001    0.001 string.py:1(<module>)
       12    0.000    0.000    0.001    0.000 parser.py:427(parse_block_mapping_key)
      136    0.000    0.000    0.001    0.000 artist.py:952(set_alpha)
        1    0.000    0.000    0.001    0.001 synchronize.py:11(<module>)
      312    0.000    0.000    0.001    0.000 text.py:253(set_rotation_mode)
      132    0.000    0.000    0.001    0.000 __init__.py:1504(_register)
       36    0.000    0.000    0.001    0.000 axis.py:1420(update_units)
     2548    0.001    0.000    0.001    0.000 transforms.py:1739(<lambda>)
       56    0.001    0.000    0.001    0.000 {built-in method zlib.crc32}
      108    0.000    0.000    0.001    0.000 __init__.py:1459(_options)
      416    0.000    0.000    0.001    0.000 lines.py:1372(set_solid_capstyle)
       30    0.000    0.000    0.001    0.000 enum.py:178(<setcomp>)
      416    0.000    0.000    0.001    0.000 lines.py:496(set_pickradius)
      146    0.000    0.000    0.001    0.000 axis.py:1478(convert_units)
     7635    0.001    0.000    0.001    0.000 {built-in method builtins.callable}
        9    0.000    0.000    0.001    0.000 patches.py:2015(__init_subclass__)
        1    0.000    0.000    0.001    0.001 offsetbox.py:1319(AnnotationBbox)
        1    0.000    0.000    0.001    0.001 gridspec.py:1(<module>)
       80    0.000    0.000    0.001    0.000 axis.py:1553(set_major_formatter)
     4758    0.001    0.000    0.001    0.000 artist.py:886(get_rasterized)
     3450    0.001    0.000    0.001    0.000 __init__.py:79(<genexpr>)
     2286    0.001    0.000    0.001    0.000 stride_tricks.py:540(<genexpr>)
      120    0.001    0.000    0.001    0.000 std.py:1443(format_dict)
       85    0.000    0.000    0.001    0.000 deprecation.py:241(finalize)
     4814    0.001    0.000    0.001    0.000 artist.py:818(get_visible)
     1137    0.001    0.000    0.001    0.000 backend_bases.py:1015(get_hatch_path)
        1    0.000    0.000    0.001    0.001 axis3d.py:5(<module>)
      416    0.000    0.000    0.001    0.000 lines.py:1328(set_solid_joinstyle)
      450    0.000    0.000    0.001    0.000 artist.py:611(get_snap)
      874    0.000    0.000    0.001    0.000 font_manager.py:898(set_math_fontfamily)
       10    0.000    0.000    0.001    0.000 extras.py:235(__init__)
       10    0.000    0.000    0.001    0.000 extras.py:239(getdoc)
        5    0.000    0.000    0.001    0.000 _base.py:3718(set_ybound)
       91    0.000    0.000    0.001    0.000 transforms.py:1067(__init__)
        6    0.000    0.000    0.001    0.000 __init__.py:4011(__del__)
     2112    0.001    0.000    0.001    0.000 {method 'count' of 'str' objects}
    72/36    0.000    0.000    0.001    0.000 units.py:192(get_converter)
     1748    0.000    0.000    0.001    0.000 font_manager.py:1005(_normalize_font_family)
        2    0.000    0.000    0.001    0.000 pyplot.py:2523(subplots_adjust)
      563    0.001    0.000    0.001    0.000 enum.py:379(__setattr__)
        1    0.000    0.000    0.001    0.001 __init__.py:413(PercentStyle)
      454    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:58(__init__)
     4424    0.001    0.000    0.001    0.000 font_manager.py:710(get_family)
     1862    0.001    0.000    0.001    0.000 text.py:1201(set_text)
     1708    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
        3    0.000    0.000    0.001    0.000 qt_compat.py:99(_setup_pyqt4)
        1    0.000    0.000    0.001    0.001 scanner.py:1(<module>)
        2    0.000    0.000    0.001    0.000 figure.py:1179(subplots_adjust)
       31    0.000    0.000    0.001    0.000 _base.py:66(__set_name__)
      901    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:389(parent)
        1    0.000    0.000    0.001    0.001 string.py:67(__init__)
       56    0.000    0.000    0.001    0.000 pathlib.py:63(parse_parts)
        1    0.000    0.000    0.001    0.001 mathtext.py:182(MathtextBackendPs)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:4(<module>)
        6    0.000    0.000    0.001    0.000 getlimits.py:35(__init__)
        1    0.000    0.000    0.001    0.001 version.py:10(<module>)
       30    0.000    0.000    0.001    0.000 transforms.py:1577(transform_path_affine)
       14    0.000    0.000    0.001    0.000 deprecation.py:65(warn_deprecated)
       83    0.001    0.000    0.001    0.000 {method 'setter' of 'property' objects}
     5085    0.001    0.000    0.001    0.000 {method 'reverse' of 'list' objects}
       18    0.000    0.000    0.001    0.000 emitter.py:395(expect_block_mapping_key)
     4758    0.001    0.000    0.001    0.000 artist.py:911(get_agg_filter)
      146    0.000    0.000    0.001    0.000 units.py:58(_is_natively_supported)
       83    0.000    0.000    0.001    0.000 pyparsing.py:3870(__init__)
        1    0.000    0.000    0.001    0.001 figure.py:181(FigureBase)
        1    0.000    0.000    0.001    0.001 _base.py:542(_AxesBase)
        1    0.000    0.000    0.001    0.001 cyaml.py:3(<module>)
       32    0.000    0.000    0.001    0.000 __init__.py:2006(getLogger)
        5    0.000    0.000    0.001    0.000 _base.py:1099(_gen_axes_patch)
        1    0.001    0.001    0.001    0.001 axis3d.py:35(Axis)
       18    0.000    0.000    0.001    0.000 pyparsing.py:4779(parseImpl)
       47    0.000    0.000    0.001    0.000 typing.py:659(__init__)
        1    0.000    0.000    0.001    0.001 six.py:21(<module>)
        2    0.000    0.000    0.001    0.000 utils.py:273(_screen_shape_linux)
        1    0.000    0.000    0.001    0.001 polar.py:1(<module>)
       30    0.000    0.000    0.001    0.000 transforms.py:1780(transform_path_affine)
     5000    0.001    0.000    0.001    0.000 {method 'tolist' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.001    0.001 arraysetops.py:1(<module>)
       80    0.000    0.000    0.001    0.000 axis.py:1579(set_minor_formatter)
     4765    0.001    0.000    0.001    0.000 font_manager.py:758(get_size_in_points)
      118    0.001    0.000    0.001    0.000 {built-in method now}
     1895    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
        1    0.000    0.000    0.001    0.001 path.py:1(<module>)
       48    0.001    0.000    0.001    0.000 ticker.py:2020(scale_range)
        1    0.000    0.000    0.001    0.001 simpledialog.py:11(<module>)
       12    0.000    0.000    0.001    0.000 transforms.py:2214(inverted)
       30    0.000    0.000    0.001    0.000 _base.py:993(get_position)
        3    0.000    0.000    0.001    0.000 __init__.py:2673(__init__)
     20/6    0.000    0.000    0.001    0.000 pyparsing.py:4460(parseImpl)
        5    0.000    0.000    0.001    0.000 figure.py:785(_add_axes_internal)
        1    0.001    0.001    0.001    0.001 {built-in method _posixsubprocess.fork_exec}
      126    0.000    0.000    0.001    0.000 std.py:104(acquire)
        1    0.000    0.000    0.001    0.001 backend_gtk3agg.py:1(<module>)
       35    0.000    0.000    0.001    0.000 transforms.py:259(frozen)
       41    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1520(path_hook_for_FileFinder)
      233    0.001    0.000    0.001    0.000 pyparsing.py:1400(__init__)
        1    0.000    0.000    0.001    0.001 ntpath.py:2(<module>)
       37    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(all)
       23    0.000    0.000    0.001    0.000 _base.py:1089(_set_artist_props)
       80    0.000    0.000    0.001    0.000 axis.py:1635(set_minor_locator)
        3    0.000    0.000    0.001    0.000 _backend_tk.py:440(show)
        1    0.001    0.001    0.001    0.001 font_manager.py:1399(_get_font)
      792    0.001    0.000    0.001    0.000 backend_bases.py:902(set_antialiased)
       53    0.000    0.000    0.001    0.000 deprecation.py:327(wrapper)
      327    0.000    0.000    0.001    0.000 sre_parse.py:355(_escape)
     4424    0.001    0.000    0.001    0.000 font_manager.py:729(get_variant)
        5    0.000    0.000    0.001    0.000 _base.py:752(set_figure)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1168(make_dataclass)
      416    0.000    0.000    0.001    0.000 lines.py:1188(set_markeredgewidth)
       16    0.000    0.000    0.001    0.000 transforms.py:1548(get_matrix)
      120    0.000    0.000    0.001    0.000 std.py:188(__format__)
     1727    0.000    0.000    0.001    0.000 inspect.py:158(isfunction)
       32    0.000    0.000    0.001    0.000 __init__.py:1272(getLogger)
        8    0.000    0.000    0.001    0.000 transforms.py:1375(contains_branch_seperately)
      267    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      429    0.000    0.000    0.001    0.000 backend_bases.py:885(set_alpha)
        1    0.000    0.000    0.001    0.001 axes3d.py:40(Axes3D)
       11    0.000    0.000    0.001    0.000 parser.py:446(parse_block_mapping_value)
       14    0.000    0.000    0.001    0.000 __init__.py:194(warn_external)
        1    0.000    0.000    0.001    0.001 _enums.py:1(<module>)
     1325    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:867(__exit__)
        2    0.000    0.000    0.001    0.000 qt_compat.py:103(_setup_pyqt4_internal)
       80    0.000    0.000    0.001    0.000 ticker.py:535(__init__)
        1    0.000    0.000    0.001    0.001 hashlib.py:5(<module>)
       53    0.000    0.000    0.001    0.000 __init__.py:200(connect)
      420    0.000    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
      216    0.000    0.000    0.001    0.000 sre_parse.py:224(__init__)
        1    0.000    0.000    0.001    0.001 selectors.py:1(<module>)
     1065    0.000    0.000    0.001    0.000 transforms.py:2648(get_matrix)
     2584    0.001    0.000    0.001    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.001    0.001 dataclasses.py:996(dataclass)
        1    0.000    0.000    0.001    0.001 dataclasses.py:1010(wrap)
        1    0.000    0.000    0.001    0.001 uuid.py:1(<module>)
       38    0.000    0.000    0.001    0.000 typing.py:1435(_alias)
     1325    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:863(__enter__)
      378    0.000    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
        1    0.000    0.000    0.001    0.001 names.py:35(<module>)
        1    0.000    0.000    0.001    0.001 dataclasses.py:807(_process_class)
     4424    0.001    0.000    0.001    0.000 font_manager.py:722(get_style)
       35    0.000    0.000    0.001    0.000 emitter.py:232(expect_node)
  564/544    0.000    0.000    0.001    0.000 spines.py:200(_ensure_position_is_set)
       17    0.000    0.000    0.001    0.000 deprecation.py:297(rename_parameter)
        1    0.000    0.000    0.001    0.001 _asarray.py:1(<module>)
      307    0.000    0.000    0.001    0.000 text.py:1254(set_usetex)
        8    0.000    0.000    0.001    0.000 transforms.py:1356(contains_branch)
       21    0.000    0.000    0.001    0.000 _backend_tk.py:664(createToolTip)
      126    0.000    0.000    0.001    0.000 <__array_function__ internals>:2(ndim)
        1    0.000    0.000    0.001    0.001 image.py:1(<module>)
     24/4    0.000    0.000    0.001    0.000 pyparsing.py:4031(streamline)
       14    0.000    0.000    0.001    0.000 hashlib.py:123(__get_openssl_constructor)
     2607    0.001    0.000    0.001    0.000 figure.py:2309(_get_dpi)
     33/5    0.000    0.000    0.001    0.000 pyparsing.py:3928(streamline)
      206    0.000    0.000    0.001    0.000 transforms.py:266(x0)
      275    0.000    0.000    0.001    0.000 transforms.py:365(intervaly)
       87    0.000    0.000    0.001    0.000 patches.py:326(_set_edgecolor)
       10    0.000    0.000    0.001    0.000 rcsetup.py:357(validate_color_or_inherit)
       71    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
       18    0.000    0.000    0.000    0.000 argparse.py:2480(_get_formatter)
     1054    0.000    0.000    0.000    0.000 _base.py:769(<genexpr>)
        8    0.000    0.000    0.000    0.000 hashlib.py:79(__get_builtin_constructor)
      416    0.000    0.000    0.000    0.000 lines.py:1231(set_markersize)
     1245    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
     4123    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        4    0.000    0.000    0.000    0.000 std.py:1262(close)
     3788    0.000    0.000    0.000    0.000 font_manager.py:761(get_file)
     5146    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     3786    0.000    0.000    0.000    0.000 font_manager.py:890(get_math_fontfamily)
        4    0.000    0.000    0.000    0.000 example.py:103(savetxt)
       52    0.000    0.000    0.000    0.000 numeric.py:148(ones)
      444    0.000    0.000    0.000    0.000 lines.py:32(_get_dash_pattern)
        6    0.000    0.000    0.000    0.000 __init__.py:1948(wm_attributes)
        1    0.000    0.000    0.000    0.000 {built-in method posix.read}
       18    0.000    0.000    0.000    0.000 argparse.py:161(__init__)
     4424    0.000    0.000    0.000    0.000 font_manager.py:735(get_weight)
     2428    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
        1    0.000    0.000    0.000    0.000 dataclasses.py:1(<module>)
     4424    0.000    0.000    0.000    0.000 font_manager.py:744(get_stretch)
       10    0.000    0.000    0.000    0.000 _base.py:983(_update_transScale)
       30    0.000    0.000    0.000    0.000 enum.py:124(__prepare__)
     1614    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 charset.py:6(<module>)
       41    0.000    0.000    0.000    0.000 figure.py:2289(get_axes)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
      342    0.000    0.000    0.000    0.000 lines.py:923(get_markeredgecolor)
        4    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(savetxt)
      241    0.000    0.000    0.000    0.000 transforms.py:356(intervalx)
      214    0.000    0.000    0.000    0.000 codecs.py:319(decode)
       22    0.000    0.000    0.000    0.000 scanner.py:668(fetch_plain)
      733    0.000    0.000    0.000    0.000 functools.py:64(wraps)
       37    0.000    0.000    0.000    0.000 fromnumeric.py:2355(all)
      416    0.000    0.000    0.000    0.000 lines.py:541(set_markevery)
       60    0.000    0.000    0.000    0.000 axis.py:1059(<listcomp>)
       39    0.000    0.000    0.000    0.000 __init__.py:2371(pack_configure)
        4    0.000    0.000    0.000    0.000 npyio.py:1200(savetxt)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
       69    0.000    0.000    0.000    0.000 figure.py:69(as_list)
        1    0.000    0.000    0.000    0.000 markers.py:1(<module>)
     2489    0.000    0.000    0.000    0.000 text.py:853(get_text)
