Sun Jun 27 21:50:15 2021    cprofile.prof

         15545163 function calls (14716914 primitive calls) in 21.072 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.208    0.069 __init__.py:2241(__init__)
        3    0.208    0.069    0.208    0.069 {built-in method _tkinter.create}
     4999    0.031    0.000    0.204    0.000 RBF.py:199(calc_o)
  312/306    0.073    0.000    0.202    0.001 {method 'call' of '_tkinter.tkapp' objects}
      450    0.001    0.000    0.194    0.000 backend_agg.py:133(draw_path)
      450    0.187    0.000    0.193    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
   263588    0.190    0.000    0.190    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     9998    0.120    0.000    0.186    0.000 stride_tricks.py:38(as_strided)
        1    0.000    0.000    0.186    0.186 pyplot.py:4(<module>)
       69    0.000    0.000    0.179    0.003 axis.py:1341(get_major_ticks)
        5    0.000    0.000    0.177    0.035 figure.py:655(add_subplot)
        5    0.000    0.000    0.176    0.035 _subplots.py:16(__init__)
    26916    0.062    0.000    0.175    0.000 copy.py:128(deepcopy)
      720    0.007    0.000    0.175    0.000 text.py:864(get_window_extent)
        5    0.000    0.000    0.174    0.035 deprecation.py:459(wrapper)
        5    0.000    0.000    0.174    0.035 _base.py:554(__init__)
       60    0.000    0.000    0.173    0.003 axis.py:1055(_get_tick_bboxes)
       60    0.001    0.000    0.173    0.003 axis.py:1057(<listcomp>)
    84100    0.044    0.000    0.162    0.000 <__array_function__ internals>:2(dot)
   167050    0.064    0.000    0.160    0.000 shape_base.py:370(<genexpr>)
   328727    0.081    0.000    0.156    0.000 shape_base.py:208(_arrays_for_stack_dispatcher)
        6    0.000    0.000    0.139    0.023 backend_tkagg.py:12(blit)
        6    0.000    0.000    0.139    0.023 _backend_tk.py:70(blit)
     1640    0.002    0.000    0.137    0.000 artist.py:1152(set)
     1029    0.014    0.000    0.134    0.000 text.py:287(_get_layout)
        6    0.000    0.000    0.133    0.022 _backend_tk.py:53(_blit)
      136    0.005    0.000    0.130    0.001 axis.py:57(__init__)
        6    0.130    0.022    0.130    0.022 {built-in method matplotlib.backends._tkagg.blit}
  1684521    0.127    0.000    0.127    0.000 {method 'append' of 'list' objects}
      789    0.011    0.000    0.126    0.000 text.py:665(draw)
       60    0.003    0.000    0.126    0.002 axis.py:1012(_update_ticks)
       71    0.000    0.000    0.124    0.002 axis.py:2038(_get_tick)
       71    0.001    0.000    0.123    0.002 axis.py:419(__init__)
     4994    0.004    0.000    0.123    0.000 <__array_function__ internals>:2(inv)
   104874    0.031    0.000    0.123    0.000 _asarray.py:23(asarray)
       51    0.000    0.000    0.121    0.002 _base.py:72(wrapper)
        6    0.000    0.000    0.121    0.020 axis.py:1781(set_ticks)
     9998    0.006    0.000    0.118    0.000 <__array_function__ internals>:2(zeros_like)
     4994    0.058    0.000    0.111    0.000 linalg.py:476(inv)
       50    0.000    0.000    0.109    0.002 axis.py:822(set_tick_params)
     9998    0.022    0.000    0.104    0.000 numeric.py:75(zeros_like)
       65    0.000    0.000    0.101    0.002 axis.py:2309(_get_tick)
       65    0.001    0.000    0.101    0.002 axis.py:486(__init__)
1491/1294    0.022    0.000    0.098    0.000 {built-in method builtins.__build_class__}
   114677    0.097    0.000    0.097    0.000 {built-in method builtins.abs}
   167050    0.067    0.000    0.096    0.000 index_tricks.py:674(__next__)
        2    0.000    0.000    0.095    0.048 pyplot.py:1730(xticks)
2423/2153    0.012    0.000    0.093    0.000 artist.py:1038(update)
        5    0.000    0.000    0.091    0.018 _base.py:1172(cla)
        1    0.016    0.016    0.090    0.090 generate_data.py:36(gen_data)
       15    0.000    0.000    0.090    0.006 _base.py:3029(grid)
       30    0.000    0.000    0.090    0.003 axis.py:1367(grid)
        1    0.000    0.000    0.088    0.088 colorbar.py:1(<module>)
      931    0.087    0.000    0.087    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
595315/594009    0.078    0.000    0.079    0.000 {built-in method builtins.len}
     4982    0.078    0.000    0.078    0.000 RBF.py:89(update_param_from_chi)
   340033    0.078    0.000    0.078    0.000 {built-in method builtins.hasattr}
      586    0.002    0.000    0.078    0.000 backend_agg.py:217(get_text_width_height_descent)
     5105    0.002    0.000    0.077    0.000 inspect.py:3020(bind)
215590/205592    0.039    0.000    0.077    0.000 {built-in method builtins.next}
     9984    0.045    0.000    0.076    0.000 twodim_base.py:156(eye)
      416    0.007    0.000    0.076    0.000 lines.py:276(__init__)
     5105    0.052    0.000    0.075    0.000 inspect.py:2889(_bind)
    19996    0.020    0.000    0.074    0.000 <__array_function__ internals>:2(transpose)
      345    0.003    0.000    0.074    0.000 backend_agg.py:190(draw_text)
   451178    0.069    0.000    0.074    0.000 {built-in method builtins.isinstance}
    40068    0.070    0.000    0.070    0.000 {built-in method numpy.zeros}
     6279    0.005    0.000    0.069    0.000 <__array_function__ internals>:2(amax)
      357    0.003    0.000    0.069    0.000 <frozen importlib._bootstrap_external>:849(get_code)
      828    0.013    0.000    0.068    0.000 lines.py:660(recache)
        1    0.000    0.000    0.065    0.065 figure.py:1(<module>)
       11    0.000    0.000    0.063    0.006 artist.py:1692(kwdoc)
      188    0.002    0.000    0.063    0.000 axis.py:352(_apply_params)
       30    0.000    0.000    0.061    0.002 axis.py:1836(_get_tick_boxes_siblings)
    30/20    0.000    0.000    0.061    0.003 axis.py:596(__get__)
     6279    0.013    0.000    0.058    0.000 fromnumeric.py:2617(amax)
     6698    0.006    0.000    0.057    0.000 re.py:289(_compile)
     9999    0.012    0.000    0.051    0.000 RBF_MRAN.py:195(_gen_input)
    83295    0.051    0.000    0.051    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       26    0.001    0.000    0.051    0.002 _backend_tk.py:254(motion_notify_event)
       26    0.000    0.000    0.050    0.002 backend_bases.py:1916(motion_notify_event)
        1    0.000    0.000    0.050    0.050 contour.py:1(<module>)
      215    0.001    0.000    0.048    0.000 sre_compile.py:759(compile)
       31    0.001    0.000    0.048    0.002 backend_bases.py:1326(__init__)
       11    0.001    0.000    0.047    0.004 artist.py:1452(pprint_setters)
      352    0.001    0.000    0.046    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.045    0.045 _subplots.py:1(<module>)
    26916    0.039    0.000    0.045    0.000 copy.py:242(_keep_alive)
       14    0.000    0.000    0.045    0.003 pyplot.py:2499(gca)
      352    0.045    0.000    0.045    0.000 {built-in method marshal.loads}
       14    0.000    0.000    0.044    0.003 figure.py:1499(gca)
       31    0.000    0.000    0.044    0.001 backend_bases.py:1986(inaxes)
       15    0.000    0.000    0.044    0.003 axis.py:2059(_update_label_position)
     9998    0.009    0.000    0.044    0.000 <__array_function__ internals>:2(empty_like)
       31    0.000    0.000    0.044    0.001 backend_bases.py:2000(<listcomp>)
       89    0.001    0.000    0.043    0.000 patches.py:166(contains_point)
        1    0.000    0.000    0.042    0.042 rcsetup.py:1(<module>)
    20931    0.014    0.000    0.042    0.000 fromnumeric.py:52(_wrapfunc)
       26    0.000    0.000    0.042    0.002 backend_bases.py:1444(__init__)
    10002    0.011    0.000    0.040    0.000 std.py:1157(__iter__)
    19996    0.010    0.000    0.040    0.000 fromnumeric.py:602(transpose)
     1154    0.004    0.000    0.039    0.000 transforms.py:1447(transform)
        1    0.000    0.000    0.038    0.038 text.py:1(<module>)
    10000    0.004    0.000    0.038    0.000 siso.py:40(get_x)
   307744    0.038    0.000    0.038    0.000 shape_base.py:20(_atleast_1d_dispatcher)
     2770    0.021    0.000    0.037    0.000 inspect.py:625(cleandoc)
       15    0.000    0.000    0.037    0.002 axis.py:2331(_update_label_position)
   115501    0.037    0.000    0.037    0.000 fromnumeric.py:71(<dictcomp>)
      163    0.000    0.000    0.037    0.000 re.py:250(compile)
        1    0.000    0.000    0.036    0.036 collections.py:1(<module>)
      931    0.002    0.000    0.036    0.000 backend_agg.py:269(_get_agg_font)
        1    0.000    0.000    0.036    0.036 RBF_MRAN.py:1(<module>)
   328818    0.035    0.000    0.035    0.000 multiarray.py:143(concatenate)
      307    0.002    0.000    0.034    0.000 text.py:129(__init__)
24813/24809    0.033    0.000    0.034    0.000 {method 'join' of 'str' objects}
     9998    0.034    0.000    0.034    0.000 siso.py:22(_x_switch)
    38958    0.014    0.000    0.033    0.000 __init__.py:602(__getitem__)
    92600    0.026    0.000    0.033    0.000 {built-in method builtins.getattr}
   206947    0.033    0.000    0.033    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.032    0.032 __init__.py:33(<module>)
      441    0.002    0.000    0.031    0.000 <frozen importlib._bootstrap>:890(_find_spec)
      281    0.001    0.000    0.031    0.000 patches.py:271(get_transform)
        1    0.000    0.000    0.031    0.031 masterapi.py:34(<module>)
    92039    0.020    0.000    0.031    0.000 linalg.py:112(isComplexType)
    16952    0.030    0.000    0.030    0.000 {method '__deepcopy__' of 'numpy.generic' objects}
     2349    0.002    0.000    0.029    0.000 inspect.py:606(getdoc)
       84    0.001    0.000    0.029    0.000 patches.py:598(draw)
     5000    0.006    0.000    0.029    0.000 RBF_MRAN.py:266(save_res)
      116    0.001    0.000    0.028    0.000 std.py:1195(update)
32985/26728    0.016    0.000    0.028    0.000 artist.py:241(stale)
        1    0.000    0.000    0.028    0.028 _axes.py:1(<module>)
      931    0.004    0.000    0.027    0.000 font_manager.py:1244(findfont)
      191    0.002    0.000    0.027    0.000 patches.py:772(get_patch_transform)
      436    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
      215    0.001    0.000    0.027    0.000 sre_parse.py:937(parse)
  437/436    0.002    0.000    0.027    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
      118    0.000    0.000    0.027    0.000 std.py:1322(refresh)
        3    0.000    0.000    0.026    0.009 _backend_tk.py:162(__init__)
      120    0.000    0.000    0.026    0.000 std.py:1461(display)
        1    0.000    0.000    0.025    0.025 pyplot.py:1790(yticks)
  506/215    0.001    0.000    0.025    0.000 sre_parse.py:435(_parse_sub)
      320    0.001    0.000    0.025    0.000 overrides.py:187(decorator)
      429    0.001    0.000    0.025    0.000 artist.py:1356(get_valid_values)
  623/228    0.010    0.000    0.025    0.000 sre_parse.py:493(_parse)
    10050    0.007    0.000    0.025    0.000 <__array_function__ internals>:2(copyto)
     1027    0.002    0.000    0.024    0.000 text.py:173(update)
    14994    0.023    0.000    0.023    0.000 {method 'repeat' of 'numpy.ndarray' objects}
       30    0.000    0.000    0.023    0.001 __init__.py:4056(__init__)
       12    0.002    0.000    0.023    0.002 artist.py:1403(get_setters)
       10    0.000    0.000    0.023    0.002 axis.py:906(set_clip_path)
       30    0.000    0.000    0.023    0.001 __init__.py:3989(__init__)
     3715    0.003    0.000    0.023    0.000 contextlib.py:108(__enter__)
     1024    0.006    0.000    0.023    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
       28    0.003    0.000    0.023    0.001 __init__.py:707(_rc_params_in_file)
     1130    0.001    0.000    0.022    0.000 transforms.py:2377(transform_affine)
      417    0.001    0.000    0.022    0.000 <frozen importlib._bootstrap>:549(module_from_spec)
        4    0.000    0.000    0.022    0.006 __init__.py:2(<module>)
        1    0.000    0.000    0.022    0.022 client.py:89(<module>)
        3    0.000    0.000    0.022    0.007 _backend_tk.py:401(__init__)
     1755    0.001    0.000    0.022    0.000 artist.py:1422(is_alias)
        3    0.000    0.000    0.022    0.007 _backend_tk.py:417(_get_toolbar)
      905    0.006    0.000    0.022    0.000 artist.py:99(__init__)
        3    0.000    0.000    0.022    0.007 _backend_tk.py:496(__init__)
       45    0.000    0.000    0.021    0.000 transforms.py:675(union)
      326    0.021    0.000    0.021    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.021    0.021 textpath.py:1(<module>)
        1    0.000    0.000    0.020    0.020 fontconfig_pattern.py:1(<module>)
       10    0.000    0.000    0.020    0.002 _base.py:3191(tick_params)
     4994    0.011    0.000    0.020    0.000 linalg.py:135(_commonType)
      828    0.001    0.000    0.020    0.000 <__array_function__ internals>:2(broadcast_arrays)
1387/1196    0.005    0.000    0.020    0.000 transforms.py:2401(get_affine)
      215    0.000    0.000    0.019    0.000 sre_compile.py:598(_code)
      120    0.000    0.000    0.019    0.000 ticker.py:799(set_locs)
       21    0.000    0.000    0.019    0.001 _backend_tk.py:576(_Button)
      874    0.004    0.000    0.019    0.000 font_manager.py:634(__init__)
     4255    0.004    0.000    0.019    0.000 colors.py:178(to_rgba)
      718    0.000    0.000    0.019    0.000 inspect.py:3091(signature)
       89    0.001    0.000    0.018    0.000 path.py:494(contains_point)
      718    0.000    0.000    0.018    0.000 inspect.py:2839(from_callable)
        1    0.000    0.000    0.018    0.018 client.py:1(<module>)
     1137    0.001    0.000    0.018    0.000 backend_bases.py:674(new_gc)
      828    0.003    0.000    0.018    0.000 stride_tricks.py:478(broadcast_arrays)
     1252    0.001    0.000    0.018    0.000 __init__.py:572(__setitem__)
  753/718    0.003    0.000    0.018    0.000 inspect.py:2206(_signature_from_callable)
        2    0.000    0.000    0.018    0.009 pyplot.py:2791(grid)
        2    0.000    0.000    0.018    0.009 core.py:1(<module>)
       39    0.000    0.000    0.017    0.000 __init__.py:2555(__init__)
     1006    0.001    0.000    0.017    0.000 markers.py:220(__init__)
        6    0.000    0.000    0.017    0.003 __init__.py:2783(create_image)
        6    0.000    0.000    0.017    0.003 __init__.py:2763(_create)
      541    0.001    0.000    0.017    0.000 transforms.py:829(from_extents)
        1    0.000    0.000    0.017    0.017 mathtext.py:1(<module>)
        1    0.000    0.000    0.017    0.017 generate_data.py:1(<module>)
       12    0.000    0.000    0.017    0.001 artist.py:1308(__init__)
     3685    0.007    0.000    0.017    0.000 transforms.py:1867(__init__)
   145345    0.017    0.000    0.017    0.000 {method 'items' of 'dict' objects}
       12    0.001    0.000    0.017    0.001 artist.py:1328(get_aliases)
        1    0.000    0.000    0.017    0.017 pyparsing.py:27(<module>)
     1137    0.006    0.000    0.017    0.000 backend_bases.py:751(__init__)
     1495    0.003    0.000    0.017    0.000 transforms.py:1813(frozen)
    20983    0.010    0.000    0.017    0.000 {built-in method builtins.all}
     4690    0.016    0.000    0.016    0.000 {built-in method __new__ of type object at 0x55e0287adfc0}
      120    0.000    0.000    0.016    0.000 ticker.py:260(format_ticks)
      120    0.001    0.000    0.016    0.000 std.py:1147(__str__)
        9    0.000    0.000    0.016    0.002 backend_agg.py:411(get_renderer)
   107919    0.016    0.000    0.016    0.000 fromnumeric.py:2251(_any_dispatcher)
       15    0.000    0.000    0.016    0.001 __init__.py:2626(__init__)
     5330    0.006    0.000    0.016    0.000 __init__.py:259(process)
        3    0.000    0.000    0.015    0.005 _backend_tk.py:212(resize)
     5414    0.004    0.000    0.015    0.000 colors.py:132(_is_nth_color)
      120    0.003    0.000    0.015    0.000 std.py:353(format_meter)
      6/2    0.000    0.000    0.015    0.007 pyplot.py:217(switch_backend)
   178/89    0.001    0.000    0.015    0.000 transforms.py:2331(frozen)
      514    0.000    0.000    0.014    0.000 re.py:198(search)
     3786    0.009    0.000    0.014    0.000 font_manager.py:693(__hash__)
      106    0.000    0.000    0.014    0.000 axis.py:1311(_copy_tick_props)
      307    0.001    0.000    0.014    0.000 text.py:1240(set_fontproperties)
       55    0.000    0.000    0.014    0.000 <frozen importlib._bootstrap_external>:1099(create_module)
     1006    0.003    0.000    0.014    0.000 markers.py:296(_set_marker)
    82563    0.014    0.000    0.014    0.000 {method 'get' of 'dict' objects}
       55    0.013    0.000    0.014    0.000 {built-in method _imp.create_dynamic}
    88494    0.013    0.000    0.013    0.000 {built-in method builtins.id}
        6    0.013    0.002    0.013    0.002 backend_agg.py:85(__init__)
     1423    0.005    0.000    0.013    0.000 transforms.py:780(__init__)
     5962    0.003    0.000    0.013    0.000 re.py:188(match)
     1002    0.001    0.000    0.013    0.000 <__array_function__ internals>:2(column_stack)
     8735    0.006    0.000    0.013    0.000 {built-in method builtins.any}
      173    0.010    0.000    0.013    0.000 deprecation.py:183(deprecate)
       10    0.000    0.000    0.013    0.001 __init__.py:109(import_module)
       10    0.000    0.000    0.013    0.001 <frozen importlib._bootstrap>:1002(_gcd_import)
     1648    0.008    0.000    0.013    0.000 __init__.py:1726(normalize_kwargs)
     6478    0.009    0.000    0.013    0.000 __init__.py:2094(_setattr_cm)
 1174/215    0.004    0.000    0.013    0.000 sre_compile.py:71(_compile)
     1879    0.007    0.000    0.013    0.000 {built-in method builtins.sum}
      904    0.003    0.000    0.013    0.000 path.py:98(__init__)
     9964    0.013    0.000    0.013    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
       60    0.000    0.000    0.013    0.000 spines.py:287(draw)
        1    0.000    0.000    0.012    0.012 loader.py:2(<module>)
7019/4164    0.003    0.000    0.012    0.000 {built-in method builtins.hash}
      696    0.005    0.000    0.012    0.000 inspect.py:2112(_signature_from_function)
     3558    0.003    0.000    0.012    0.000 artist.py:82(_stale_axes_callback)
    19996    0.012    0.000    0.012    0.000 {method 'transpose' of 'numpy.ndarray' objects}
        5    0.000    0.000    0.012    0.002 pyplot.py:277(backend_mod)
      529    0.001    0.000    0.012    0.000 font_manager.py:926(copy)
     1029    0.003    0.000    0.012    0.000 text.py:834(get_prop_tup)
      708    0.002    0.000    0.012    0.000 transforms.py:2716(_revalidate)
        1    0.000    0.000    0.012    0.012 core.py:158(load_base_library)
        1    0.000    0.000    0.012    0.012 core.py:179(read_style_directory)
        1    0.000    0.000    0.012    0.012 numeric.py:1(<module>)
     4999    0.005    0.000    0.012    0.000 RBF_MRAN.py:243(_save_hist)
      345    0.012    0.000    0.012    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     8389    0.005    0.000    0.012    0.000 enum.py:289(__call__)
        1    0.000    0.000    0.012    0.012 axes3d.py:1(<module>)
        1    0.000    0.000    0.011    0.011 multiarray.py:1(<module>)
        5    0.000    0.000    0.011    0.002 _base.py:742(_init_axis)
      191    0.001    0.000    0.011    0.000 patches.py:854(get_bbox)
     3715    0.004    0.000    0.011    0.000 contextlib.py:117(__exit__)
       26    0.000    0.000    0.011    0.000 __init__.py:781(rc_params_from_file)
        1    0.000    0.000    0.011    0.011 cli.py:1(<module>)
      362    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       48    0.000    0.000    0.011    0.000 ticker.py:2262(__call__)
      144    0.000    0.000    0.011    0.000 lines.py:1016(get_path)
    82051    0.011    0.000    0.011    0.000 linalg.py:2358(_norm_dispatcher)
     3582    0.003    0.000    0.011    0.000 __init__.py:1325(_to_unmasked_float_array)
    84100    0.011    0.000    0.011    0.000 multiarray.py:716(dot)
        1    0.000    0.000    0.011    0.011 _axes.py:46(Axes)
     5855    0.010    0.000    0.010    0.000 {method 'astype' of 'numpy.ndarray' objects}
    44982    0.010    0.000    0.010    0.000 shape_base.py:1253(<genexpr>)
      484    0.001    0.000    0.010    0.000 transforms.py:1972(rotate_deg)
     4994    0.005    0.000    0.010    0.000 linalg.py:107(_makearray)
      342    0.009    0.000    0.010    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     1002    0.003    0.000    0.010    0.000 shape_base.py:612(column_stack)
    44988    0.010    0.000    0.010    0.000 shape_base.py:1243(<genexpr>)
      541    0.001    0.000    0.010    0.000 <__array_function__ internals>:2(reshape)
     5244    0.003    0.000    0.010    0.000 artist.py:356(pchanged)
        1    0.000    0.000    0.010    0.010 colors.py:1(<module>)
       48    0.000    0.000    0.010    0.000 ticker.py:2266(tick_values)
      684    0.005    0.000    0.010    0.000 transforms.py:650(translated)
        3    0.000    0.000    0.010    0.003 Image.py:617(_ensure_mutable)
        3    0.000    0.000    0.010    0.003 Image.py:611(_copy)
        3    0.010    0.003    0.010    0.003 {method 'copy' of 'ImagingCore' objects}
     6094    0.006    0.000    0.010    0.000 transforms.py:1750(__init__)
        1    0.000    0.000    0.010    0.010 overrides.py:1(<module>)
    15259    0.010    0.000    0.010    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.010    0.010 parser.py:5(<module>)
      958    0.002    0.000    0.009    0.000 transforms.py:2468(composite_transform_factory)
      484    0.002    0.000    0.009    0.000 transforms.py:1956(rotate)
        2    0.000    0.000    0.009    0.005 shape_base.py:1(<module>)
      120    0.000    0.000    0.009    0.000 std.py:346(print_status)
        1    0.000    0.000    0.009    0.009 feedparser.py:5(<module>)
        1    0.000    0.000    0.009    0.009 mathtext.py:401(MathTextParser)
     7492    0.009    0.000    0.009    0.000 {method 'copy' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.009    0.009 lines.py:1(<module>)
     1159    0.001    0.000    0.009    0.000 colors.py:137(is_color_like)
  527/507    0.001    0.000    0.009    0.000 _base.py:766(_unstale_viewLim)
        1    0.003    0.003    0.009    0.009 RBF_MRAN.py:256(_save_pre_res)
        1    0.000    0.000    0.009    0.009 patches.py:1(<module>)
      342    0.001    0.000    0.009    0.000 stride_tricks.py:544(<listcomp>)
       80    0.000    0.000    0.009    0.000 axis.py:742(_set_scale)
        8    0.000    0.000    0.009    0.001 pyplot.py:2986(plot)
      343    0.000    0.000    0.009    0.000 transforms.py:820(from_bounds)
       48    0.002    0.000    0.009    0.000 ticker.py:2202(_raw_ticks)
        8    0.000    0.000    0.009    0.001 _axes.py:1361(plot)
